# Region type : patch inlet
# Faces  :   4
# Area   :   1.000000e-02
# Time       	sum(phi)
0.005        	-1.000000e-02
0.01         	-1.000000e-02
0.015        	-1.000000e-02
0.02         	-1.000000e-02
0.025        	-1.000000e-02
0.03         	-1.000000e-02
0.035        	-1.000000e-02
0.04         	-1.000000e-02
0.045        	-1.000000e-02
0.05         	-1.000000e-02
0.055        	-1.000000e-02
0.06         	-1.000000e-02
0.065        	-1.000000e-02
0.07         	-1.000000e-02
0.075        	-1.000000e-02
0.08         	-1.000000e-02
0.085        	-1.000000e-02
0.09         	-1.000000e-02
0.095        	-1.000000e-02
0.1          	-1.000000e-02
0.105        	-1.000000e-02
0.11         	-1.000000e-02
0.115        	-1.000000e-02
0.12         	-1.000000e-02
0.125        	-1.000000e-02
0.13         	-1.000000e-02
0.135        	-1.000000e-02
0.14         	-1.000000e-02
0.145        	-1.000000e-02
0.15         	-1.000000e-02
0.155        	-1.000000e-02
0.16         	-1.000000e-02
0.165        	-1.000000e-02
0.17         	-1.000000e-02
0.175        	-1.000000e-02
0.18         	-1.000000e-02
0.185        	-1.000000e-02
0.19         	-1.000000e-02
0.195        	-1.000000e-02
0.2          	-1.000000e-02
0.205        	-1.000000e-02
0.21         	-1.000000e-02
0.215        	-1.000000e-02
0.22         	-1.000000e-02
0.225        	-1.000000e-02
0.23         	-1.000000e-02
0.235        	-1.000000e-02
0.24         	-1.000000e-02
0.245        	-1.000000e-02
0.25         	-1.000000e-02
0.255        	-1.000000e-02
0.26         	-1.000000e-02
0.265        	-1.000000e-02
0.27         	-1.000000e-02
0.275        	-1.000000e-02
0.28         	-1.000000e-02
0.285        	-1.000000e-02
0.29         	-1.000000e-02
0.295        	-1.000000e-02
0.3          	-1.000000e-02
0.305        	-1.000000e-02
0.31         	-1.000000e-02
0.315        	-1.000000e-02
0.32         	-1.000000e-02
0.325        	-1.000000e-02
0.33         	-1.000000e-02
0.335        	-1.000000e-02
0.34         	-1.000000e-02
0.345        	-1.000000e-02
0.35         	-1.000000e-02
0.355        	-1.000000e-02
0.36         	-1.000000e-02
0.365        	-1.000000e-02
0.37         	-1.000000e-02
0.375        	-1.000000e-02
0.38         	-1.000000e-02
0.385        	-1.000000e-02
0.39         	-1.000000e-02
0.395        	-1.000000e-02
0.4          	-1.000000e-02
0.405        	-1.000000e-02
0.41         	-1.000000e-02
0.415        	-1.000000e-02
0.42         	-1.000000e-02
0.425        	-1.000000e-02
0.43         	-1.000000e-02
0.435        	-1.000000e-02
0.44         	-1.000000e-02
0.445        	-1.000000e-02
0.45         	-1.000000e-02
0.455        	-1.000000e-02
0.46         	-1.000000e-02
0.465        	-1.000000e-02
0.47         	-1.000000e-02
0.475        	-1.000000e-02
0.48         	-1.000000e-02
0.485        	-1.000000e-02
0.49         	-1.000000e-02
0.495        	-1.000000e-02
0.5          	-1.000000e-02
0.505        	-1.000000e-02
0.51         	-1.000000e-02
0.515        	-1.000000e-02
0.52         	-1.000000e-02
0.525        	-1.000000e-02
0.53         	-1.000000e-02
0.535        	-1.000000e-02
0.54         	-1.000000e-02
0.545        	-1.000000e-02
0.55         	-1.000000e-02
0.555        	-1.000000e-02
0.56         	-1.000000e-02
0.565        	-1.000000e-02
0.57         	-1.000000e-02
0.575        	-1.000000e-02
0.58         	-1.000000e-02
0.585        	-1.000000e-02
0.59         	-1.000000e-02
