# Region type : patch outlet
# Faces  :   4
# Area   :   1.000000e-02
# Time       	sum(phi)
0.005        	9.998136e-03
0.01         	9.999218e-03
0.015        	9.996660e-03
0.02         	9.996252e-03
0.025        	9.997289e-03
0.03         	9.998600e-03
0.035        	1.000062e-02
0.04         	1.000257e-02
0.045        	9.999629e-03
0.05         	9.995712e-03
0.055        	9.995393e-03
0.06         	9.996702e-03
0.065        	9.998535e-03
0.07         	9.999866e-03
0.075        	1.000139e-02
0.08         	9.999962e-03
0.085        	9.996196e-03
0.09         	9.994992e-03
0.095        	9.996105e-03
0.1          	9.997826e-03
0.105        	9.999810e-03
0.11         	9.999827e-03
0.115        	9.998573e-03
0.12         	9.997596e-03
0.125        	9.996747e-03
0.13         	9.996897e-03
0.135        	9.997979e-03
0.14         	9.998319e-03
0.145        	9.998572e-03
0.15         	9.997853e-03
0.155        	9.998087e-03
0.16         	9.998663e-03
0.165        	9.997914e-03
0.17         	9.997894e-03
0.175        	9.998954e-03
0.18         	9.999681e-03
0.185        	9.999945e-03
0.19         	1.000002e-02
0.195        	9.999954e-03
0.2          	9.999747e-03
0.205        	9.999846e-03
0.21         	9.999983e-03
0.215        	1.000050e-02
0.22         	9.999801e-03
0.225        	1.000030e-02
0.23         	1.000023e-02
0.235        	1.000089e-02
0.24         	1.000020e-02
0.245        	1.000068e-02
0.25         	1.000108e-02
0.255        	1.000036e-02
0.26         	1.000071e-02
0.265        	1.000025e-02
0.27         	1.000052e-02
0.275        	9.999371e-03
0.28         	1.000042e-02
0.285        	1.000059e-02
0.29         	1.000151e-02
0.295        	1.000011e-02
0.3          	1.000152e-02
0.305        	1.000144e-02
0.31         	1.000143e-02
0.315        	1.000102e-02
0.32         	1.000136e-02
0.325        	1.000206e-02
0.33         	1.000270e-02
0.335        	1.000126e-02
0.34         	1.000056e-02
0.345        	1.000117e-02
0.35         	1.000112e-02
0.355        	1.000174e-02
0.36         	1.000212e-02
0.365        	1.000058e-02
0.37         	1.000146e-02
0.375        	1.000248e-02
0.38         	1.000156e-02
0.385        	1.000088e-02
0.39         	1.000093e-02
0.395        	1.000069e-02
0.4          	1.000064e-02
0.405        	1.000094e-02
0.41         	1.000072e-02
0.415        	1.000040e-02
0.42         	9.999877e-03
0.425        	1.000111e-02
0.43         	1.000177e-02
0.435        	1.000225e-02
0.44         	1.000168e-02
0.445        	1.000153e-02
0.45         	1.000049e-02
0.455        	1.000115e-02
0.46         	1.000154e-02
0.465        	1.000135e-02
0.47         	1.000063e-02
0.475        	1.000102e-02
0.48         	1.000035e-02
0.485        	1.000162e-02
0.49         	1.000017e-02
0.495        	1.000017e-02
0.5          	9.999566e-03
0.505        	9.999755e-03
0.51         	9.999335e-03
0.515        	9.998954e-03
0.52         	9.998660e-03
0.525        	1.000031e-02
0.53         	9.999981e-03
0.535        	1.000017e-02
0.54         	9.999631e-03
0.545        	9.999865e-03
0.55         	9.999558e-03
0.555        	9.999553e-03
0.56         	9.999431e-03
0.565        	9.999378e-03
0.57         	9.998623e-03
0.575        	9.998212e-03
0.58         	9.998079e-03
0.585        	9.997937e-03
0.59         	9.997911e-03
