# Region type : patch wall
# Faces  :   264
# Area   :   8.000000e-01
# Time       	sum(phi)
0.005        	1.826399e-06
0.01         	8.488798e-07
0.015        	3.364698e-06
0.02         	5.290293e-06
0.025        	2.976328e-06
0.03         	1.297442e-06
0.035        	-4.511519e-07
0.04         	-2.414982e-06
0.045        	-2.638456e-07
0.05         	3.431753e-06
0.055        	3.980449e-06
0.06         	3.538175e-06
0.065        	2.311071e-06
0.07         	-2.334412e-08
0.075        	-1.136183e-06
0.08         	1.893219e-07
0.085        	3.059835e-06
0.09         	4.319168e-06
0.095        	2.836151e-06
0.1          	8.065296e-07
0.105        	1.737272e-07
0.11         	5.044679e-07
0.115        	1.372983e-06
0.12         	1.992080e-06
0.125        	2.151511e-06
0.13         	1.832260e-06
0.135        	1.239369e-06
0.14         	7.550161e-07
0.145        	7.963859e-07
0.15         	1.087608e-06
0.155        	1.183830e-06
0.16         	1.032144e-06
0.165        	8.970909e-07
0.17         	8.486401e-07
0.175        	7.687596e-07
0.18         	6.136412e-07
0.185        	4.943356e-07
0.19         	4.488764e-07
0.195        	4.364430e-07
0.2          	4.089859e-07
0.205        	3.400042e-07
0.21         	-4.475439e-08
0.215        	-1.236385e-07
0.22         	-1.060283e-07
0.225        	-2.476427e-07
0.23         	-2.392851e-07
0.235        	-2.312628e-07
0.24         	-3.083982e-07
0.245        	-4.501403e-07
0.25         	-5.947153e-07
0.255        	-7.000661e-07
0.26         	-7.529871e-07
0.265        	-7.526663e-07
0.27         	-7.449768e-07
0.275        	-7.921729e-07
0.28         	-9.041842e-07
0.285        	-1.042068e-06
0.29         	-1.153751e-06
0.295        	-1.209709e-06
0.3          	-1.222258e-06
0.305        	-1.228203e-06
0.31         	-1.259224e-06
0.315        	-1.325477e-06
0.32         	-1.409248e-06
0.325        	-1.480130e-06
0.33         	-1.523691e-06
0.335        	-1.547383e-06
0.34         	-1.565676e-06
0.345        	-1.587397e-06
0.35         	-1.611336e-06
0.355        	-1.632632e-06
0.36         	-1.646769e-06
0.365        	-1.654251e-06
0.37         	-1.657627e-06
0.375        	-1.658475e-06
0.38         	-1.774893e-06
0.385        	-1.756957e-06
0.39         	-1.662128e-06
0.395        	-1.653354e-06
0.4          	-1.653770e-06
0.405        	-1.587304e-06
0.41         	-1.529059e-06
0.415        	-1.503614e-06
0.42         	-1.452238e-06
0.425        	-1.376607e-06
0.43         	-1.313945e-06
0.435        	-1.253080e-06
0.44         	-1.172496e-06
0.445        	-1.085782e-06
0.45         	-1.003650e-06
0.455        	-9.162437e-07
0.46         	-8.233880e-07
0.465        	-7.334569e-07
0.47         	-6.437748e-07
0.475        	-5.473789e-07
0.48         	-4.450007e-07
0.485        	-3.368079e-07
0.49         	-1.612562e-07
0.495        	4.103801e-08
0.5          	2.208221e-07
0.505        	1.462941e-07
0.51         	3.321498e-07
0.515        	4.347741e-07
0.52         	4.899999e-07
0.525        	6.048300e-07
0.53         	7.101321e-07
0.535        	7.888196e-07
0.54         	8.726710e-07
0.545        	9.610358e-07
0.55         	1.042103e-06
0.555        	1.116101e-06
0.56         	1.187367e-06
0.565        	1.258209e-06
0.57         	1.324626e-06
0.575        	1.384119e-06
0.58         	1.438823e-06
0.585        	1.489847e-06
0.59         	1.535937e-06
