    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
    Step    Atoms         KinEng            rke         Volume       heattran 
  150001     1005  2.3338009e-06    5.06343e-06          0.011      840.47342 
    Step    Atoms         KinEng            rke         Volume       heattran 
  150001     1005  2.3338009e-06    5.06343e-06          0.011      840.47342 
  150501     1005  2.4508543e-06  5.7530481e-06          0.011      840.47342 
    Step    Atoms         KinEng            rke         Volume       heattran 
  150501     1005  2.4508543e-06  5.7530481e-06          0.011      840.47342 
  151000     1005  1.5464602e-06  5.4802738e-06          0.011      834.45063 
  151001     1005  1.5449898e-06  5.4805876e-06          0.011      834.43856 
    Step    Atoms         KinEng            rke         Volume       heattran 
  151001     1005  1.5449898e-06  5.4805876e-06          0.011      840.47342 
  151501     1005  0.00013942823  1.9062327e-05          0.011      832.59952 
    Step    Atoms         KinEng            rke         Volume       heattran 
  151501     1005  0.00013942823  1.9062327e-05          0.011      840.47342 
  152000     1005  4.4141514e-05   1.833407e-05          0.011      832.64429 
  152001     1005  4.3996821e-05   1.831257e-05          0.011       832.6286 
    Step    Atoms         KinEng            rke         Volume       heattran 
  152001     1005  4.3996821e-05   1.831257e-05          0.011      840.47342 
  152501     1005  3.8010108e-05  1.4347144e-05          0.011      832.65836 
    Step    Atoms         KinEng            rke         Volume       heattran 
  152501     1005  3.8010108e-05  1.4347144e-05          0.011      840.47342 
  153000     1005  2.5129267e-05  1.5380763e-05          0.011      832.70399 
  153001     1005  2.5112351e-05  1.5380528e-05          0.011      832.68842 
    Step    Atoms         KinEng            rke         Volume       heattran 
  153001     1005  2.5112351e-05  1.5380528e-05          0.011      840.47342 
  153501     1005  2.5297427e-05  1.4859921e-05          0.011      832.71905 
    Step    Atoms         KinEng            rke         Volume       heattran 
  153501     1005  2.5297427e-05  1.4859921e-05          0.011      840.47342 
  154000     1005  1.0959747e-05  1.2343188e-05          0.011      832.76536 
  154001     1005  1.0944146e-05  1.2340182e-05          0.011      832.74991 
    Step    Atoms         KinEng            rke         Volume       heattran 
  154001     1005  1.0944146e-05  1.2340182e-05          0.011      840.47342 
  154501     1005  1.3878425e-05  1.2958315e-05          0.011      832.78007 
    Step    Atoms         KinEng            rke         Volume       heattran 
  154501     1005  1.3878425e-05  1.2958315e-05          0.011      840.47342 
  155000     1005  8.8578392e-06  1.2402913e-05          0.011      832.82468 
  155001     1005    8.84201e-06  1.2397861e-05          0.011      832.80936 
    Step    Atoms         KinEng            rke         Volume       heattran 
  155001     1005    8.84201e-06  1.2397861e-05          0.011      840.47342 
  155501     1005  6.6995883e-06  1.0732947e-05          0.011      832.83821 
    Step    Atoms         KinEng            rke         Volume       heattran 
  155501     1005  6.6995883e-06  1.0732947e-05          0.011      840.47342 
  156000     1005  6.4041236e-06    1.13848e-05          0.011      832.88214 
  156001     1005  6.3982896e-06  1.1384702e-05          0.011      832.86693 
    Step    Atoms         KinEng            rke         Volume       heattran 
  156001     1005  6.3982896e-06  1.1384702e-05          0.011      840.47342 
  156501     1005  4.2381666e-06   1.055672e-05          0.011      832.89492 
    Step    Atoms         KinEng            rke         Volume       heattran 
